combo_id,window,quantile,min_move,blend,splits,eval_rows,weighted_rmse,last_value_weighted_rmse,delta_weighted_rmse_vs_last_value,mean_rmse,median_rmse,mean_delta_rmse_vs_last_value,median_delta_rmse_vs_last_value,win_rate_vs_last_value,fallback_rate,ok_splits,fallback_splits,is_default
18,256,0.5,4.0,1.0,15,57397,14.563557458678254,14.76400874676707,-0.20045128808881607,12.668993454226,9.47121696671804,-0.4079335430054154,0.0,0.13333333333333333,0.8,3,12,True
36,512,0.65,8.0,1.0,15,57397,14.564347170537028,14.76400874676707,-0.19966157623004221,12.515811889795028,10.229106887252424,-0.561115107436386,0.0,0.06666666666666667,0.9333333333333333,1,14,False
23,256,0.65,6.0,1.0,15,57397,14.583216654128623,14.76400874676707,-0.18079209263844653,12.603280253714265,10.229106887252424,-0.4736467435171497,0.0,0.06666666666666667,0.9333333333333333,1,14,False
24,256,0.65,8.0,1.0,15,57397,14.583216654128623,14.76400874676707,-0.18079209263844653,12.603280253714265,10.229106887252424,-0.4736467435171497,0.0,0.06666666666666667,0.9333333333333333,1,14,False
35,512,0.65,6.0,1.0,15,57397,14.599887836987383,14.76400874676707,-0.16412090977968674,12.754602446171871,10.345253751866661,-0.3223245510595442,0.0,0.13333333333333333,0.8,3,12,False
15,256,0.35,6.0,1.0,15,57397,14.664098530010643,14.76400874676707,-0.09991021675642742,12.928196211697069,12.95911301436352,-0.14873078553434665,0.0,0.06666666666666667,0.9333333333333333,1,14,False
14,256,0.35,4.0,1.0,15,57397,14.703953208185817,14.76400874676707,-0.060055538581252677,12.99025312378574,12.95911301436352,-0.08667387344567536,0.0,0.06666666666666667,0.8666666666666667,2,13,False
1,128,0.35,2.0,1.0,15,57397,14.708109254823425,14.76400874676707,-0.055899491943645074,12.999356047095874,12.95911301436352,-0.0775709501355412,0.0,0.06666666666666667,0.8666666666666667,2,13,False
21,256,0.65,2.0,1.0,15,57397,14.73296027618924,14.76400874676707,-0.031048470577829335,12.76939243433446,9.47121696671804,-0.3075345628969569,0.0,0.13333333333333333,0.7333333333333333,4,11,False
17,256,0.5,2.0,1.0,15,57397,14.750792391890347,14.76400874676707,-0.013216354876723457,12.893646430232547,9.47121696671804,-0.1832805669988683,0.0,0.13333333333333333,0.7333333333333333,4,11,False
2,128,0.35,4.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
3,128,0.35,6.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
4,128,0.35,8.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
6,128,0.5,4.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
7,128,0.5,6.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
8,128,0.5,8.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
10,128,0.65,4.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
11,128,0.65,6.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
12,128,0.65,8.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
16,256,0.35,8.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
19,256,0.5,6.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
20,256,0.5,8.0,1.0,15,57397,14.76400874676707,14.76400874676707,0.0,13.076926997231414,12.95911301436352,0.0,0.0,0.0,1.0,0,15,False
22,256,0.65,4.0,1.0,15,57397,14.790724660912106,14.76400874676707,0.02671591414503638,12.849978541599606,10.229106887252424,-0.22694845563180824,0.0,0.06666666666666667,0.8666666666666667,2,13,False
5,128,0.5,2.0,1.0,15,57397,14.822256902311421,14.76400874676707,0.058248155544351476,13.145199409344086,13.1458420432453,0.06827241211267172,0.0,0.06666666666666667,0.8,3,12,False
9,128,0.65,2.0,1.0,15,57397,14.830334975479154,14.76400874676707,0.06632622871208405,13.096812677389405,10.857074259457358,0.019885680157989683,0.0,0.06666666666666667,0.8666666666666667,2,13,False
34,512,0.65,4.0,1.0,15,57397,14.952417715861676,14.76400874676707,0.18840896909460625,13.057512065662062,10.345253751866661,-0.019414931569352943,0.0,0.13333333333333333,0.6666666666666666,5,10,False
13,256,0.35,2.0,1.0,15,57397,15.003830458174393,14.76400874676707,0.23982171140732333,13.184970163257033,10.5962348565179,0.10804316602561889,0.0,0.13333333333333333,0.6666666666666666,5,10,False
33,512,0.65,2.0,1.0,15,57397,15.223737103606924,14.76400874676707,0.4597283568398538,13.433903739402135,10.345253751866661,0.35697674217071884,0.0,0.13333333333333333,0.5333333333333333,7,8,False
32,512,0.5,8.0,1.0,15,57397,15.643345025832215,14.76400874676707,0.8793362790651447,13.12652404704359,9.47121696671804,0.04959704981217463,0.0,0.13333333333333333,0.8,3,12,False
26,512,0.35,4.0,1.0,15,57397,15.681424065859616,14.76400874676707,0.9174153190925463,13.360729785879807,11.650630002086855,0.28380278864839226,0.0,0.2,0.6666666666666666,5,10,False
31,512,0.5,6.0,1.0,15,57397,15.734792287751329,14.76400874676707,0.9707835409842591,13.268514746382698,10.054449432402514,0.19158774915128293,0.0,0.13333333333333333,0.7333333333333333,4,11,False
30,512,0.5,4.0,1.0,15,57397,15.807323370420685,14.76400874676707,1.0433146236536146,13.525306002667833,10.054449432402514,0.44837900543641696,0.0,0.13333333333333333,0.6666666666666666,5,10,False
27,512,0.35,6.0,1.0,15,57397,15.850709340950992,14.76400874676707,1.086700594183922,13.469556386675794,11.650630002086855,0.392629389444381,0.0,0.13333333333333333,0.7333333333333333,4,11,False
28,512,0.35,8.0,1.0,15,57397,15.850709340950992,14.76400874676707,1.086700594183922,13.469556386675794,11.650630002086855,0.392629389444381,0.0,0.13333333333333333,0.7333333333333333,4,11,False
29,512,0.5,2.0,1.0,15,57397,15.872144430533679,14.76400874676707,1.1081356837666085,13.683212310960919,10.054449432402514,0.6062853137294996,0.0,0.2,0.5333333333333333,7,8,False
25,512,0.35,2.0,1.0,15,57397,15.875189529696941,14.76400874676707,1.1111807829298712,13.679394074781122,11.650630002086855,0.6024670775497076,0.0,0.2,0.5333333333333333,7,8,False
